id,example_text,mood_label,notes
46,मैं रक्षात्मक हूँ,defensive,अपनी सीमाओं की सुरक्षा।
47,मुझे पुरानी यादें आ रही हैं,nostalgic,अतीत की यादों को याद करना।
48,मैं चंचल हूँ,perky,ऊर्जावान और खुश।
49,मैं खेलना चाहती हूँ,playful,मस्ती और खेल का मूड।
50,मेरा मूड हल्का है,light-hearted,मस्त और खुश।
51,मुझे मज़ा आ रहा है,fun,मज़ेदार गतिविधियों का आनंद।
52,मैं प्रसन्न हूँ,cheerful,आनंदित और सकारात्मक।
53,मैं उत्साही हूँ,passionate,जोश और लगन।
54,मैं शांत हूँ,peaceful,आंतरिक शांति।
55,मैं विचारशील हूँ,reflective,गहराई से सोचने वाला।
56,मैं शर्मीली हूँ,shy,संकोची या शर्मीली।
57,मैं भावुक हूँ,sentimental,भावनाओं से भरपूर।
58,मुझे अजीब लग रहा है,strange,असामान्य या विचित्र।
59,मैं अलग हूँ,weird,अलग या अनोखा।
60,मुझे अपना मूड पता नहीं है,unknown,मूड की पहचान न होना।
61,मैं अप्रभावित हूँ,unaffected,कोई असर न होना।
62,मैं उत्साही हूँ,vivacious,ज़िंदादिल और ऊर्जावान।
63,मुझे पछतावा है,regretful,पश्चाताप या अफसोस।
64,मुझे अपराधबोध है,guilty,गलती का एहसास।
65,मुझे डर लग रहा है,scared,भयभीत या डरा हुआ।
66,मैं दुखी हूँ,sorrowful,दुःख से भरा हुआ।
67,मैं निश्चिंत हूँ,laid-back,आरामदायक और तनावमुक्त।
68,मुझे प्रेरणा नहीं मिल रही है,unmotivated,प्रेरणा की कमी।
69,मैं प्रेरित हूँ,motivated,प्रेरित और सक्रिय।
70,मुझे भयभीत महसूस हो रहा है,horrified,घबराहट या डर।
71,मैं हताश हूँ,daunted,डर या हताशा।
72,मैं डरपोक महसूस कर रही हूँ,intimidated,डर या दबाव।
73,मेरा मूड खुश है,sunny,खुश और उज्ज्वल।
74,मैं ऊर्जावान हूँ,energetic,ऊर्जा से भरपूर।
75,मेरा मूड हल्का है,breezy,मस्त और हल्का।
76,मैं चमकदार महसूस कर रही हूँ,bright,आनंद और उत्साह।
77,मैं बहुत डरी हुई हूँ,terrified,अत्यधिक डर।
78,मैं थकी हुई हूँ,exhausted,अत्यधिक थकावट।
79,मैं जली हुई हूँ,burnt-out,ऊर्जा की कमी।
80,मैं थकी हूँ,fatigued,शारीरिक थकावट।
81,मैं उत्साही हूँ,animated,प्रभावशाली और ऊर्जावान।
82,मैं अलग-थलग महसूस कर रही हूँ,alienated,अलगाव या दूरी।
83,मैं अकेली हूँ,isolated,अकेलापन।
84,मैं जीवन से भरपूर हूँ,zestful,ऊर्जा और उत्साह।
85,मुझे डर लग रहा है,afraid,भयभीत।
86,मैं तरोताजा हूँ,rejuvenated,नवीनता और ऊर्जा।
87,मैं निराश हूँ,disheartened,हिम्मत हारना।
88,मेरा मूड शांत है,mellow,शांत और सुकून।
89,मैं शांत हूँ,placid,शांति और स्थिरता।
90,मैं चिंतनशील हूँ,pensive,गहराई से सोचने वाला।
91,मैं थकी हूँ,weary,शारीरिक या मानसिक थकावट।
92,मैं परेशान हूँ,disturbed,चिंतित या परेशान।
93,मैं बेचैन हूँ,agitated,अशांत या बेचैन।
94,मैं संतुष्ट हूँ,content,संतुष्टि।
95,मैं स्मृतिशील हूँ,wistful,पूर्व की यादें।
96,मुझे बोझ महसूस हो रहा है,burdened,अत्यधिक जिम्मेदारी।
97,मैं शोकग्रस्त हूँ,grieving,शोक।
98,मैं व्याकुल हूँ,dismayed,असंतुष्ट या परेशान।
99,मैं परेशान हूँ,troubled,चिंता।
100,मैं असहज हूँ,disconcerted,असहजता।
101,मैं घबराई हुई हूँ,panicked,घबराहट।
102,मैं शांत महसूस कर रही हूँ,soothed,शांति।
103,मैं शांत हूँ,serene,आंतरिक शांति।
104,मैं आनंदित हूँ,joyful,अत्यधिक खुशी।
105,मैं उदास हूँ,melancholy,गहरा दुःख।
