id,mood_tag,text,tone,language,safety_flag
70,horrified,आप अभी सुरक्षित हैं; आराम और सहायता लें।,जरूरी,हिन्दी,safe
71,daunted,हर चुनौती एक अवसर है; आप सक्षम हैं।,प्रोत्साहक,हिन्दी,safe
72,intimidated,आप अपने डर से अधिक मजबूत हैं; खुद पर विश्वास रखें।,सहायक,हिन्दी,safe
73,sunny,आपकी सकारात्मकता सबको प्रेरित करती है।,प्रोत्साहक,हिन्दी,safe
74,energetic,अपनी ऊर्जा को खुशी में लगाएँ।,प्रोत्साहक,हिन्दी,safe
75,breezy,खुद को आराम दें और पल का आनंद लें।,शांत,हिन्दी,safe
76,bright,आपकी चमक हर जगह फैलती है।,प्रोत्साहक,हिन्दी,safe
77,terrified,आप अकेली नहीं हैं; सहायता उपलब्ध है।,जरूरी,हिन्दी,safe
78,exhausted,आराम ज़रूरी है; खुद को विश्राम दें।,कोमल,हिन्दी,safe
79,burnt-out,आपको रुकने और ऊर्जा पुनः प्राप्त करने का अधिकार है।,कोमल,हिन्दी,safe
80,fatigued,खुद की देखभाल करें; आराम उपचार है।,कोमल,हिन्दी,safe
81,animated,आपकी उत्साही ऊर्जा सबको खुशी देती है।,खुश,हिन्दी,safe
82,alienated,आपका अस्तित्व महत्वपूर्ण है, भले ही आप अलग महसूस करें।,सांत्वना,हिन्दी,safe
83,isolated,आप अकेली नहीं हैं; संबंध संभव है।,सहायक,हिन्दी,safe
84,zestful,आपका उत्साह दूसरों को प्रेरित करता है।,प्रोत्साहक,हिन्दी,safe
85,afraid,आहिस्ता-आहिस्ता अपने डर का सामना करें; आप सुरक्षित हैं।,सहायक,हिन्दी,safe
86,rejuvenated,आपकी नई ऊर्जा आपको आगे बढ़ाएगी।,सहायक,हिन्दी,safe
87,disheartened,आशा फिर से मिलेगी; यह अवस्था अस्थायी है।,कोमल,हिन्दी,safe
88,mellow,अपनी शांति और कोमलता का आनंद लें।,शांत,हिन्दी,safe
89,placid,आपकी शांति सबको सुकून देती है।,शांत,हिन्दी,safe
90,pensive,अपने विचारों को समय दें; वे महत्वपूर्ण हैं।,चिंतनशील,हिन्दी,safe
91,weary,आराम और उपचार आएंगे; खुद की देखभाल करें।,कोमल,हिन्दी,safe
92,disturbed,सहायता मांगें; आप अकेली नहीं हैं।,सांत्वना,हिन्दी,safe
93,agitated,धीरे-धीरे सांस लें; शांति लौटेगी।,शांत,हिन्दी,safe
94,content,अपने संतोष के पलों का आनंद लें; आप इसके हकदार हैं।,कोमल,हिन्दी,safe
95,wistful,अपनी उम्मीदों को सहेजें; नए अवसर आएंगे।,आशावान,हिन्दी,safe
96,burdened,सबकुछ अकेले उठाने की ज़रूरत नहीं; सहायता लें।,सहायक,हिन्दी,safe
97,grieving,आपका शोक मान्य है; उपचार के लिए समय लें।,कोमल,हिन्दी,safe
98,dismayed,आपको फिर से सांत्वना और समझ मिलेगी।,कोमल,हिन्दी,safe
99,troubled,आप अपनी परेशानियों से मजबूत हैं; आगे बढ़ते रहें।,सहायक,हिन्दी,safe
100,disconcerted,असहजता समय के साथ दूर होगी; आप सक्षम हैं।,सहायक,हिन्दी,safe
101,panicked,धीरे-धीरे सांस लें; मदद उपलब्ध है।,जरूरी,हिन्दी,safe
102,soothed,अपनी शांति और आराम का आनंद लें; आप इसके हकदार हैं।,कोमल,हिन्दी,safe
103,serene,आपकी शांति ताकत और स्पष्टता देती है।,शांत,हिन्दी,safe
104,joyful,अपनी खुशी को हर हिस्से में फैलने दें।,प्रोत्साहक,हिन्दी,safe
105,melancholy,ऐसा महसूस करना ठीक है; उपचार आएगा।,कोमल,हिन्दी,safe
